| #  | Actor                        | Action   | Object      |
| 1  | Applicant                    | Submit   | Application |
| 2  | Applicant                    | Modify   | Application |
| 3  | Staff Member                 | Assign   | Application |
| 4  | Staff Member                 | Apply    | Hold        |
| 5  | Staff Member                 | Remove   | Hold        |
| 6  | Plan Review Staff Member     | Assign   | Plan        |
| 7  | Plan Review Staff Member     | Review   | Plan        |
| 8  | Applicant                    | Resubmit | Plan        |
| 9  | Development Staff Member     | Issue    | Permit      |
| 10 | Zoning Staff Member          | Issue    | Permit      |
| 11 | Plan Review Staff Supervisor | Manage   | Workload    |
| 12 | Inspection Supervisor        | Manage   | Workload    |
| 13 | Applicant                    | Request  | Plan Review |
| 14 | Plan Review Staff Member     | Conduct  | Plan Review |
| 15 | Customer                     | Request  | Inspection  |
| 16 | Inspection Staff Member      | Create   | Inspection  |
| 17 | Inspection Staff Supervisor  | Assign   | Inspection  |
| 18 | Inspector                    | Conduct  | Inspection  |
