| # | Actor                        | Action      | Object     |
| 1 | Applicant                    | Submit      | Application |
| 2 | Applicant                    | Modify      | Application |
| 3 | Staff Member                 | Assign      | Application |
| 4 | Staff Member                 | Apply       | Hold        |
| 5 | Staff Member                 | Remove      | Hold        |
| 6 | Zoning Staff Member          | Issue       | Permit      |
| 7 | Development Staff Member     | Issue       | Permit      |
| 8 | Plan Review Staff Member     | Assign      | Plan        |
| 9 | Plan Review Staff Member     | Review      | Plan        |
| 10 | Applicant                   | Resubmit    | Plan        |
| 11 | Plan Review Staff Supervisor | Manage      | Workload    |
| 12 | Inspection Supervisor        | Manage      | Workload    |
| 13 | Applicant                   | Request     | Plan Review |
| 14 | Plan Review Staff Member     | Conduct     | Plan Review |
| 15 | Plan Review Staff Member     | Track       | Plan Review |
| 16 | Customer                    | Request     | Inspection  |
| 17 | Inspection Staff Member      | Create      | Inspection  |
| 18 | Inspection Staff Supervisor  | Assign      | Inspection  |
| 19 | Inspector                   | Conduct     | Inspection  |
