| #  | Actor                 | Action      | Object               |
| 1  | Content Editor        | Find        | Content              |
| 2  | Author                | Indent      | Content              |
| 3  | Nsf Employee          | Join        | Github               |
| 4  | Nsf Employee          | Learn       | Github               |
| 5  | Team Member           | Identify    | Hypothesis           |
| 6  | Developer             | Identify    | Hypothesis           |
| 7  | Web Recruiter Manager | Confirm     | Recruiter            |
| 8  | Web Recruiter Manager | Confirm     | Recruiter            |
| 9  | Researcher            | Recruit     | Research Participant |
| 10 | User Researcher       | Identify    | Research Participant |
| 11 | User Researcher       | Set Up      | Research Participant |
| 12 | User Researcher       | Test        | Research Plan        |
| 13 | User Researcher       | Draft       | Research Plan        |
| 14 | Visualdesigner        | Demonstrate | Visual Design        |
| 15 | Site Administrator    | Analyze     | Visual Design        |
