| # | Actor | Action | Object |
| 1 | Camp Administrator | Add | Campers |
| 2 | Camp Administrator | Remove | Campers |
| 3 | Camp Administrator | Keep | Records |
| 4 | Camp Administrator | Upload | Consent Forms |
| 5 | Camp Administrator | Keep Track | Forms |
| 6 | Camp Administrator | Schedule | Activities |
| 7 | Camp Administrator | Create | Nametags |
| 8 | Camp Administrator | Suspend | Camper |
| 9 | Camp Administrator | Set | Reminders |
| 10 | Camp Administrator | Assign | Positions |
| 11 | Camp Administrator | Warn | Worker |
| 12 | Camp Administrator | Create | Rules |
| 13 | Camp Administrator | Keep Track | Usage |
| 14 | Camp Administrator | Create | Avenue |
| 15 | Camp Administrator | Store | Information |
| 16 | Camp Administrator | Store | Information |
| 17 | Camp Administrator | Provide | Feedback |
| 18 | Camp Administrator | Create | Nametags |
| 19 | Camp Administrator | Create | Registration Form |
| 20 | Camp Administrator | Keep | Information |
| 21 | Camp Administrator | See | Medical Forms |
| 22 | Camp Administrator | Notify | Parents |
| 23 | Camp Administrator | Log | Attendance |
| 24 | Camp Administrator | Add | Parents |
| 25 | Camp Administrator | Create | Groups |
| 26 | Camp Administrator | See | Groups |
| 27 | Camp Administrator | Schedule | Tasks |
| 28 | Camp Administrator | Delete | Tasks |
| 29 | Camp Administrator | Modify | Tasks |
| 30 | Camp Administrator | Modify | Information |
| 31 | Camp Administrator | Delete | Campers |
| 32 | Camp Administrator | Modify | Information |
| 33 | Camp Administrator | Delete | Parents |
| 34 | Camp Administrator | Modify | Information |
| 35 | Camp Administrator | See | Events |
| 36 | Parent | See | Forms |
| 37 | Parent | Track | Activity |
| 38 | Parent | Submit | Forms |
| 39 | Parent | Create | Account |
| 40 | Parent | See | Counselors |
| 41 | Parent | Message | Counselors |
| 42 | Parent | Sign | Forms |
| 43 | Parent | See | Payments |
| 44 | Parent | Share | Photos |
| 45 | Parent | Connect | Staff |
| 46 | Parent | Enroll | Children |
| 47 | Parent | See | Children |
| 48 | Parent | See | Schedule |
| 49 | Camp Worker | See | Campers |
| 50 | Camp Worker | Submit | Report |
| 51 | Camp Worker | Report | Camper |
| 52 | Camp Worker | Report | Supplies |
| 53 | Camp Worker | Report | Repairs |
| 54 | Camp Worker | See | Campers |
| 55 | Camp Counselor | Take | Attendance |
