| #  | Actor              | Action   | Object             |
| 1  | Camp Administrator | Add      | Camper             |
| 2  | Camp Administrator | Remove   | Camper             |
| 3  | Camp Administrator | Suspend  | Camper             |
| 4  | Camp Administrator | Delete   | Camper             |
| 5  | Camp Worker        | See      | Camper             |
| 6  | Camp Worker        | Report   | Camper             |
| 7  | Camp Worker        | See      | Camper             |
| 8  | Camp Administrator | Upload   | Consent Form       |
| 9  | Parent             | See      | Consent Form       |
| 10 | Parent             | Submit   | Consent Form       |
| 11 | Camp Administrator | Schedule | Activity           |
| 12 | Camp Administrator | Schedule | Activity           |
| 13 | Camp Administrator | Create   | Nametag            |
| 14 | Camp Administrator | Make     | Nametag            |
| 15 | Camp Administrator | Store    | Parent Information |
| 16 | Camp Administrator | Modify   | Parent Information |
| 17 | Camp Administrator | See      | Parent             |
| 18 | Camp Administrator | Add      | Parent             |
| 19 | Camp Administrator | Delete   | Parent             |
| 20 | Camp Administrator | Delete   | Task               |
| 21 | Camp Administrator | Modify   | Task               |
| 22 | Parent             | See      | Activity Schedule  |
| 23 | Parent             | See      | Activity Schedule  |
| 24 | Parent             | See      | Counselor          |
| 25 | Parent             | Message  | Counselor          |
| 26 | Camp Administrator | Log      | Attendance         |
| 27 | Camp Counselor     | Take     | Attendance         |
