| # | Actor            | Action    | Object                 |
| 1 | Moderator        | Create    | Game                   |
| 2 | Moderator        | Invite    | Estimators             |
| 3 | Moderator        | Start     | Round                  |
| 4 | Moderator        | See       | Items                  |
| 5 | Moderator        | Select    | Item                   |
| 6 | Moderator        | Add       | Item                   |
| 7 | Moderator        | Edit      | Item                   |
| 8 | Moderator        | Delete    | Item                   |
| 9 | Moderator        | Show      | Estimates              |
| 10| Moderator        | Accept    | Average                |
| 11| Moderator        | Have      | Field                  |
| 12| Moderator        | Enter     | Estimate               |
| 13| Moderator        | Estimate  | Story                  |
| 14| Moderator        | Import    | Stories                |
| 15| Moderator        | Copy      | Stories                |
| 16| Moderator        | Browse    | Games                  |
| 17| Moderator        | View      | Transcript             |
| 18| Moderator        | Export    | Transcript             |
| 19| Moderator        | Export    | Transcript             |
| 20| Moderator        | Delete    | Game                   |
| 21| Moderator        | Create    | Account                |
| 22| Moderator        | Log       | Account                |
| 23| Moderator        | Change    | Account Details        |
| 24| Moderator        | Delete    | Account                |
| 25| Moderator        | See       | Dates                  |
| 26| Moderator        | Get       | Password Reminder      |
| 27| Moderator        | Select    | Sequence               |
| 28| Moderator        | Invite    | Estimators             |
| 29| Estimator        | Join      | Game                   |
| 30| Estimator        | See       | Item                   |
| 31| Estimator        | See       | Items                  |
| 32| Participant      | See       | Estimate               |
| 33| Participant      | Shown     | Estimates              |
| 34| Participant      | Change    | Estimate               |
| 35| Participant      | See       | Estimates              |
| 36| Participant      | See       | Estimates              |
| 37| Participant      | Start     | Timer                  |
| 38| Participant      | Have      | Timer                  |
| 39| Participant      | Scroll    | Stories                |
| 40| Participant      | Have      | Cards                  |
| 41| Participant      | Change    | Estimate               |
| 42| Participant      | Have      | Photo                  |
| 43| Developer        | Have      | Site                   |
| 44| Developer        | Have      | List                   |
| 45| Developer        | Have      | Database Indexes       |
| 46| Developer        | Have      | Application            |
| 47| Developer        | Have      | Site                   |
| 48| User             | Have      | Application            |
| 49| User             | Use       | Unicode                |
| 50| User             | See       | URLs                   |
| 51| User             | Have      | Error Pages            |
| 52| Researcher       | Store     | Results                |
| 53| Mike             | See       | Metrics                |
