| # | Actor | Action | Object |
| 1 | Moderator | Create | Game |
| 2 | Moderator | Browse | Game |
| 3 | Moderator | Delete | Game |
| 4 | Estimator | Join | Game |
| 5 | Moderator | Invite | Estimator |
| 6 | Moderator | Invite | Estimator |
| 7 | Moderator | See | Item |
| 8 | Moderator | Select | Item |
| 9 | Moderator | Add | Item |
| 10 | Moderator | Edit | Item |
| 11 | Moderator | Delete | Item |
| 12 | Estimator | See | Item |
| 13 | Estimator | See | Item |
| 14 | Moderator | Show | Estimate |
| 15 | Moderator | Enter | Estimate |
| 16 | Participant | See | Estimate |
| 17 | Participant | View | Estimate |
| 18 | Participant | Change | Estimate |
| 19 | Participant | See | Estimate |
| 20 | Participant | Change | Estimate |
| 21 | Moderator | Estimate | Story |
| 22 | Moderator | Import | Story |
| 23 | Moderator | Paste | Story |
| 24 | Moderator | View | Transcript |
| 25 | Moderator | Export | Transcript |
| 26 | Moderator | Export | Transcript |
| 27 | Moderator | Create | Account |
| 28 | Moderator | Log In | Account |
| 29 | Moderator | Delete | Account |
