#,Actor,Action,Object
1,Moderator,Create,Account
2,Moderator,Log In,Account
3,Moderator,Delete,Account
4,Participant,See,Estimate
5,Participant,View,Estimate
6,Participant,Change,Estimate
7,Participant,See,Estimate
8,Participant,Change,Estimate
9,Moderator,Invite,Estimator
10,Moderator,Invite,Estimator
11,Moderator,Create,Game
12,Moderator,Browse,Game
13,Moderator,Delete,Game
14,Estimator,Join,Game
15,Moderator,See,Item
16,Moderator,Select,Item
17,Moderator,Add,Item
18,Moderator,Edit,Item
19,Moderator,Delete,Item
20,Estimator,See,Item
21,Estimator,See,Item
22,Moderator,Estimate,Story
23,Moderator,Import,Story
24,Moderator,Paste,Story
25,Moderator,View,Transcript
26,Moderator,Export,Transcript
27,Moderator,Export,Transcript
