| #  | Actor         | Action    | Object                  |
| 1  | Publisher     | Publish   | Dataset                 |
| 2  | Publisher     | Sign Up   | Account                 |
| 3  | Visitor       | Sign Up   | Github                  |
| 4  | Publisher     | Know      | Next Step               |
| 5  | Admin         | Invite    | Someone                 |
| 6  | Publisher     | Import    | Data Package            |
| 7  | Publisher     | Configure | Client                  |
| 8  | Publisher     | Update    | Data Package            |
| 9  | Publisher     | Unpublish | Data Package            |
| 10 | Publisher     | Delete    | Data Package            |
| 11 | Publisher     | Validate  | Data                    |
| 12 | Publisher     | Validate  | Data                    |
| 13 | Consumer      | Know      | Data                    |
| 14 | Publisher     | Publish   | Data Package            |
| 15 | Consumer      | Get       | Data                    |
| 16 | Publisher     | Publish   | Data Package            |
| 17 | Publisher     | Create    | Data Package            |
| 18 | Publisher     | Restore   | Data Package            |
| 19 | Publisher     | Undelete  | Data Package            |
| 20 | Publisher     | Preview   | Data Package            |
| 21 | Consumer      | View      | Data Package            |
| 22 | Publisher     | Show      | Data                    |
| 23 | Consumer      | View      | Data Package            |
| 24 | Publisher     | Preview   | Datapackage             |
| 25 | Consumer      | See       | Download                |
| 26 | Publisher     | See       | Example Package         |
| 27 | Consumer      | See       | Data Package            |
| 28 | Consumer      | Search    | Data Package            |
| 29 | Consumer      | Search    | Description             |
| 30 | Consumer      | Download  | Data Package            |
| 31 | Developer     | Use       | Data Package            |
| 32 | Consumer      | Load      | Data Package            |
| 33 | Data Analyst  | Download  | Data Package            |
| 34 | Data Analyst  | Update    | Data Package            |
| 35 | Consumer      | Download  | Data                    |
| 36 | Data Analyst  | Compare   | Version                 |
| 37 | Web Developer | Install   | Version                 |
| 38 | Developer     | List      | Datapackage Requirement |
| 39 | Publisher     | Tag       | Datapackage             |
| 40 | Publisher     | Warn      | Tag                     |
| 41 | Publisher     | Overwrite | Datapackage             |
| 42 | Publisher     | Version   | Data Package            |
| 43 | Publisher     | Get       | Version                 |
| 44 | Consumer      | Know      | Schema Change           |
| 45 | Consumer      | Get       | Datapackage Age         |
| 46 | Consumer      | View      | Datapackage Version     |
| 47 | Consumer      | Download  | Data Package            |
| 48 | Consumer      | Notify    | Package Change          |
| 49 | Consumer      | See       | Site Activity           |
| 50 | Consumer      | Browse    | Publisher               |
| 51 | Consumer      | See       | Publisher Profile       |
| 52 | Consumer      | View      | Publisher Profile       |
| 53 | Consumer      | Search    | Data Package            |
| 54 | Owner         | Edit      | Profile                 |
| 55 | Owner         | Invite    | User                    |
| 56 | Owner         | Invite    | Someone                 |
| 57 | Owner         | Remove    | Someone                 |
| 58 | Owner         | View      | Organization People     |
| 59 | Owner         | Make      | User Owner              |
| 60 | Owner         | Remove    | Owner                   |
| 61 | Admin         | Set       | Configuration Parameter |
| 62 | Admin         | See       | Usage Metric            |
| 63 | Admin         | Have      | Pricing Plan            |
| 64 | Publisher     | Know      | Pricing Plan            |
| 65 | Publisher     | Sign Up   | Pricing Plan            |
| 66 | Publisher     | Have      | Data Package            |
