| # | Actor | Action | Object |
| 1 | Publisher | Publish | Dataset |
| 2 | Publisher | Sign Up | Account |
| 3 | Visitor | Sign Up | Github |
| 4 | Publisher | Know | Next |
| 5 | Admin | Invite | Someone |
| 6 | Publisher | Import | Data Package |
| 7 | Publisher | Configure | Client |
| 8 | Publisher | Use | Publish Command |
| 9 | Publisher | Unpublish | Data Package |
| 10 | Publisher | Delete | Data Package |
| 11 | Publisher | Validate | Data |
| 12 | Publisher | Validate | Data |
| 13 | Consumer | Know | Data |
| 14 | Publisher | Publish | Data Package |
| 15 | Consumer | Get | Data |
| 16 | Publisher | Publish | Data Package |
| 17 | Publisher | Create | Data Package |
| 18 | Publisher | Restore | Data Package |
| 19 | Publisher | Undelete | Data Packages |
| 20 | Publisher | Preview | Views |
| 21 | Consumer | View | Data Package |
| 22 | Publisher | Show | Data |
| 23 | Consumer | View | Data Package |
| 24 | Publisher | Preview | Datapackage |
| 25 | Consumer | See | Data |
| 26 | Publisher | See | Examples |
| 27 | Consumer | See | Data Packages |
| 28 | Consumer | Search | Data Packages |
| 29 | Consumer | Search | Description |
| 30 | Consumer | Download | Data Package |
| 31 | Developer | Use | Data Package |
| 32 | Consumer | Load | Data Package |
| 33 | Data Analyst | Download | Data Package |
| 34 | Data Analyst | Update | Data Package |
| 35 | Consumer | Download | Data |
| 36 | Data Analyst | Compare | Versions |
| 37 | Web Developer | Install | Versions |
| 38 | Developer | List | Datapackages Requirements |
| 39 | Publisher | Tag | Datapackage |
| 40 | Publisher | Be Warned | Tag |
| 41 | Publisher | Overwrite | Datapackage |
| 42 | Publisher | Version | Data Package |
| 43 | Publisher | Get | Version |
| 44 | Consumer | Know | Details |
| 45 | Consumer | Get | Sense |
| 46 | Consumer | View | Datapackage |
| 47 | Consumer | Download | Data Package |
| 48 | Consumer | Be Notified | Changes |
| 49 | Consumer | See | Site |
| 50 | Consumer | Browse | Publishers |
| 51 | Consumer | See | Profile |
| 52 | Consumer | View | Profile |
| 53 | Consumer | Search | Data Packages |
| 54 | Owner | Edit | Profile |
| 55 | Owner | Invite | User |
| 56 | Owner | Invite | Someone |
| 57 | Owner | Remove | Someone |
| 58 | Owner | View | People |
| 59 | Owner | Make | User |
| 60 | Owner | Remove | User |
| 61 | Admin | Set | Configuration Parameters |
| 62 | Admin | See | Metrics |
| 63 | Admin | Have | Pricing Plan |
| 64 | Publisher | Know | Site |
| 65 | Publisher | Sign Up | Pricing Plan |
| 66 | Publisher | Have | Data Packages |
