#,Actor,Action,Object
1,Publisher,Publish,Dataset
2,Publisher,Sign Up,Account
3,Visitor,Sign Up,Github Google
4,Publisher,Know,Next Steps
5,Admin,Invite,Someone
6,Publisher,Import,Data Package
7,Publisher,Configure,Client
8,Publisher,Update,Data Package
9,Publisher,Unpublish,Data Package
10,Publisher,Delete,Data Package
11,Publisher,Validate,Data
12,Publisher,Validate,Data
13,Consumer,Know,Data
14,Publisher,Publish,Data Package
15,Consumer,Get,Data
16,Publisher,Publish,Data Package
17,Publisher,Create,Data Package
18,Publisher,Restore,Data Package
19,Publisher,Undelete,Data Packages
20,Publisher,Preview,Views
21,Consumer,View,Data Package
22,Publisher,Show,Published Data
23,Consumer,View,Data Package
24,Publisher,Preview,Datapackage
25,Consumer,See,Download Amount
26,Publisher,See,Published Packages
27,Consumer,See,Example Packages
28,Consumer,Search,Data Packages
29,Consumer,Search,Description
30,Consumer,Download,Data Package
31,Developer,Use,Data Package
32,Consumer,Load,Data Package
33,Data Analyst,Download,Data Package
34,Data Analyst,Update,Data Package
35,Consumer,Download,Data Package
36,Data Analyst,Compare,Different Versions
37,Web Developer,Install,Multiple Versions
38,Developer,List,Project Requirements
39,Publisher,Tag,Datapackage
40,Publisher,Warn,Tag Existence
41,Publisher,Overwrite,Tagged Datapackage
42,Publisher,Version,Data Package
43,Publisher,Get,Previous Version
44,Consumer,Know,Schema Changes
45,Consumer,Get,Datapackage Age
46,Consumer,View,Datapackage Version
47,Consumer,Download,Data Package
48,Consumer,Notify,Package Changes
49,Consumer,See,Site Activity
50,Consumer,Browse,Publishers
51,Consumer,See,Publisher Profile
52,Consumer,View,Publisher Profile
53,Consumer,Search,Data Packages
54,Owner,Edit,Profile
55,Owner,Invite,Existing User
56,Owner,Invite,Someone
57,Owner,Remove,Someone
58,Owner,View,People
59,Owner,Make,Owner
60,Owner,Remove,User
61,Admin,Set,Configuration Parameters
62,Admin,See,Key Metrics
63,Admin,Have,Pricing Plan
64,Publisher,Know,Pricing Plan
65,Publisher,Sign Up,Pricing Plan
66,Publisher,Have,Private Packages
