| #  | Actor         | Action    | Object            |
| 1  | Publisher     | Publish   | Data              |
| 2  | Publisher     | Validate  | Data              |
| 3  | Publisher     | Validate  | Data              |
| 4  | Consumer      | Know      | Data              |
| 5  | Consumer      | Get       | Data              |
| 6  | Publisher     | Show      | Data              |
| 7  | Consumer      | Download  | Data              |
| 8  | Publisher     | Import    | Data Package      |
| 9  | Publisher     | Update    | Data Package      |
| 10 | Publisher     | Unpublish | Data Package      |
| 11 | Publisher     | Delete    | Data Package      |
| 12 | Publisher     | Publish   | Data Package      |
| 13 | Publisher     | Publish   | Data Package      |
| 14 | Publisher     | Create    | Data Package      |
| 15 | Publisher     | Restore   | Data Package      |
| 16 | Publisher     | Undelete  | Data Package      |
| 17 | Publisher     | Preview   | Data Package      |
| 18 | Consumer      | View      | Data Package      |
| 19 | Consumer      | View      | Data Package      |
| 20 | Publisher     | Preview   | Datapackage       |
| 21 | Consumer      | See       | Data Package      |
| 22 | Consumer      | Search    | Data Package      |
| 23 | Consumer      | Download  | Data Package      |
| 24 | Developer     | Use       | Data Package      |
| 25 | Consumer      | Load      | Data Package      |
| 26 | Data Analyst  | Download  | Data Package      |
| 27 | Data Analyst  | Update    | Data Package      |
| 28 | Publisher     | Tag       | Datapackage       |
| 29 | Publisher     | Overwrite | Datapackage       |
| 30 | Publisher     | Version   | Data Package      |
| 31 | Consumer      | Download  | Data Package      |
| 32 | Consumer      | Search    | Data Package      |
| 33 | Publisher     | Have      | Data Package      |
| 34 | Admin         | Have      | Pricing Plan      |
| 35 | Publisher     | Know      | Pricing Plan      |
| 36 | Publisher     | Sign Up   | Pricing Plan      |
| 37 | Owner         | Invite    | Someone           |
| 38 | Owner         | Remove    | Someone           |
| 39 | Consumer      | See       | Publisher Profile |
| 40 | Consumer      | View      | Publisher Profile |
| 41 | Data Analyst  | Compare   | Version           |
| 42 | Web Developer | Install   | Version           |
| 43 | Publisher     | Get       | Version           |
