#,Actor,Action,Object
1,Publisher,Validate,Data
2,Publisher,Validate,Data
3,Consumer,Know,Data
4,Consumer,Get,Data
5,Publisher,Show,Data
6,Consumer,Download,Data
7,Publisher,Import,Data Package
8,Publisher,Update,Data Package
9,Publisher,Unpublish,Data Package
10,Publisher,Delete,Data Package
11,Publisher,Publish,Data Package
12,Publisher,Publish,Data Package
13,Publisher,Create,Data Package
14,Publisher,Restore,Data Package
15,Publisher,Undelete,Data Package
16,Publisher,Preview,Data Package
17,Consumer,View,Data Package
18,Consumer,View,Data Package
19,Publisher,Preview,Data Package
20,Consumer,See,Data Package
21,Consumer,Search,Data Package
22,Consumer,Download,Data Package
23,Developer,Use,Data Package
24,Consumer,Load,Data Package
25,Data Analyst,Download,Data Package
26,Data Analyst,Update,Data Package
27,Publisher,Tag,Data Package
28,Publisher,Overwrite,Data Package
29,Publisher,Version,Data Package
30,Consumer,Download,Data Package
31,Consumer,Search,Data Package
32,Publisher,Have,Data Package
33,Admin,Have,Pricing Plan
34,Publisher,Know,Pricing Plan
35,Publisher,Sign Up,Pricing Plan
36,Consumer,See,Publisher Profile
37,Consumer,View,Publisher Profile
38,Admin,Invite,Someone
39,Owner,Invite,Someone
40,Owner,Remove,Someone
41,Data Analyst,Compare,Version
42,Web Developer,Install,Version
43,Publisher,Get,Version
