#,Actor,Action,Object
1,Researcher,View,Finding Aid
2,Application Administrator,Reset,Password
3,User,Want,Backend Changes
4,Archivist,Import,Ead Files
5,Archivist,Assign,Unique Identifier
6,User,Authenticate,Ldap
7,Migration Specialist,Store,Source Records
8,Archivist,Associate,Identifier String
9,Archivist,Understand,Error
10,Archivist,Import,Accessions Data
11,Archivist,Import,Resources
12,User,Want,Frontend Changes
13,Authenticated User,Get,Contextual Help
14,Archivist,See,Dates Extents
15,Archivist,Import,Agent Information
16,User,Want,Backend Changes
17,User,Want,Backend Changes
18,Archivist,Export,Agent Records
19,Archivist,Import,Agent Information
20,Application Administrator,Assign,Users
21,Application Administrator,Configure,Help Center
22,User,Add,Additional Properties
23,Archivist,Add,Notes
24,Administrator,Create,User Account
25,Archivist,Add,Administrative Data
26,Archivist,Assign,Level
27,Developer,Use,Configuration
28,Archivist,Import,Ead Files
29,Systems Administrator,Control,Database Location
30,Archivist,Search,Repository
31,Archivist,Create,Management Subrecord
32,Archivist,Rearrange,Description Hierarchy
33,Archivist,Rearrange,Description Hierarchy
34,Archivist,Indicate,Agent
35,Archivist,Export,Description
36,Archivist,Create,Event Records
37,Archivist,Manage,Digital Objects
38,Archivist,Associate,Instance
39,Archivist,Overwrite,Changes
40,Archivist,Create,Management Statements
41,Archivist,Upload,Ead
42,Archivist,Import,Ead Data
43,Repository Manager,Create,Archival Descriptions
44,Developer,Develop,Custom Importer
45,Basic Data Entry User,Create,Archival Description
46,Repository Manager,Create,Records
47,Read Only User,View,Archival Descriptions
48,System Administrator,Declare,User
49,Archivist,Specify,Source
50,Archivist,Create,Agent Records
51,Archivist,Create,Resource Record
52,Archivist,Associate,Subject Record
53,User,Authenticate,Locally
54,User,Log In,Log In
55,Archivist,Associate,Instance
56,Archivist,Assign,Location Information
