| # | Actor                           | Action       | Object    |
| 1 | Depositor                       | Deposit      | Dataset   |
| 2 | Depositor                       | Deposit      | Dataset   |
| 3 | Depositor                       | Deposit      | Dataset   |
| 4 | Depositor                       | Link         | Dataset   |
| 5 | Depositor                       | Link         | Dataset   |
| 6 | Research Information Manager    | Have         | Dataset   |
| 7 | Developer                       | Deposit      | Dataset   |
| 8 | Depositor                       | Deposit      | File      |
| 9 | Depositor                       | Deposit      | File      |
| 10 | Data Reuser                     | Examine      | File      |
| 11 | Depositor                       | Allow        | Access    |
| 12 | Data Reuser                     | Access       | Access    |
| 13 | External Collaborator           | Gain         | Access    |
| 14 | Depositor                       | Have         | Metadata  |
| 15 | Depositor                       | Attach       | Metadata  |
| 16 | Bath Data Archive Administrator | Require      | Metadata  |
| 17 | Fundingbody                     | Harvest      | Metadata  |
| 18 | Depositor                       | Link         | Data      |
| 19 | External Coordinator            | Access       | Data      |
| 20 | Research Facility Manager       | Deposit      | Data      |
| 21 | Bath Data Archive Administrator | Import       | Data      |
| 22 | UnivITservice                   | Store        | Data      |
| 23 | UnivITservice                   | Store        | Data      |
| 24 | UnivITservice                   | Export       | Data      |
| 25 | Depositor                       | Have         | Guarantee |
| 26 | External Coordinator            | Have         | Guarantee |
| 27 | Depositor                       | Manage       | Version   |
| 28 | Data Reuser                     | See          | Version   |
| 29 | Data Reuser                     | Search       | Archive   |
| 30 | Data Reuser                     | Search       | Archive   |
| 31 | Bath Data Archive Administrator | Query        | Archive   |
| 32 | Research Information Manager    | Integrate    | Archive   |
| 33 | UnivITservice                   | Integrate    | Archive   |
